Dataset,Configuration,Buffer_Mode,Threshold_Mode,F1,Accuracy,Precision,Recall,FPR,FNR,Final_Buffer,Final_Threshold
CSE-CIC-IDS-2018,ASRRL Dynamic (Buffer+Threshold),dynamic,dynamic,0.9982532751091703,0.9989333333333333,0.997164667393675,0.999344262295082,0.0012470023980815348,0.0006557377049180328,40,0.7
CSE-CIC-IDS-2018,Dynamic Buffer Fixed Threshold,dynamic,fixed,0.9980345053505132,0.9988,0.9971634300676413,0.9989071038251366,0.0012470023980815348,0.001092896174863388,40,0.5
CSE-CIC-IDS-2018,Fixed Buffer Dynamic Threshold,fixed,dynamic,0.9982532751091703,0.9989333333333333,0.997164667393675,0.999344262295082,0.0012470023980815348,0.0006557377049180328,50,0.7
CSE-CIC-IDS-2018,"Fixed Small (buf=20, th=0.5)",fixed,fixed,0.9980345053505132,0.9988,0.9971634300676413,0.9989071038251366,0.0012470023980815348,0.001092896174863388,20,0.5
CSE-CIC-IDS-2018,"Fixed Medium (buf=50, th=0.5)",fixed,fixed,0.9980345053505132,0.9988,0.9971634300676413,0.9989071038251366,0.0012470023980815348,0.001092896174863388,50,0.5
CSE-CIC-IDS-2018,"Fixed Large (buf=100, th=0.5)",fixed,fixed,0.9980345053505132,0.9988,0.9971634300676413,0.9989071038251366,0.0012470023980815348,0.001092896174863388,100,0.5
CSE-CIC-IDS-2018,Fixed buf=50 th=0.3 (sensitive),fixed,fixed,0.9982532751091703,0.9989333333333333,0.997164667393675,0.999344262295082,0.0012470023980815348,0.0006557377049180328,50,0.3
CSE-CIC-IDS-2018,Fixed buf=50 th=0.7 (strict),fixed,fixed,0.9982532751091703,0.9989333333333333,0.997164667393675,0.999344262295082,0.0012470023980815348,0.0006557377049180328,50,0.7
CSE-CIC-IDS-2018,Random Forest,static,static,0.9994534921849383,0.9996666666666667,0.9995627459554001,0.999344262295082,0.00019184652278177457,0.0006557377049180328,N/A,N/A
CSE-CIC-IDS-2018,XGBoost,static,static,0.9995629370629371,0.9997333333333334,0.9993445488311121,0.9997814207650273,0.00028776978417266187,0.0002185792349726776,N/A,N/A
CSE-CIC-IDS-2018,LightGBM,static,static,0.9992350562780024,0.9995333333333334,0.9991258741258742,0.999344262295082,0.00038369304556354914,0.0006557377049180328,N/A,N/A
CSE-CIC-IDS-2018,SVM,static,static,0.9954198473282443,0.9972,0.9932535364526659,0.9975956284153006,0.002973621103117506,0.0024043715846994535,N/A,N/A
CSE-CIC-IDS-2018,KNN,static,static,0.9985784581738655,0.9991333333333333,0.9991247264770241,0.9980327868852459,0.00038369304556354914,0.0019672131147540984,N/A,N/A
CSE-CIC-IDS-2018,Naive Bayes,static,static,0.9678923386669492,0.9798,0.9393253805018511,0.9982513661202186,0.028297362110311752,0.0017486338797814208,N/A,N/A
CSE-CIC-IDS-2018,MLP,static,static,0.9991254919108001,0.9994666666666666,0.999343975508419,0.9989071038251366,0.00028776978417266187,0.001092896174863388,N/A,N/A
UNSW-NB15,ASRRL Dynamic (Buffer+Threshold),dynamic,dynamic,0.8649490961977976,0.9133333333333333,0.8241932290635517,0.9099453551912569,0.08517985611510791,0.09005464480874317,29,0.46499999999999975
UNSW-NB15,Dynamic Buffer Fixed Threshold,dynamic,fixed,0.8641230897182659,0.9128666666666667,0.823949246629659,0.908415300546448,0.08517985611510791,0.09158469945355191,35,0.5
UNSW-NB15,Fixed Buffer Dynamic Threshold,fixed,dynamic,0.8651907286144891,0.9135333333333333,0.824811732065002,0.9097267759562842,0.08479616306954436,0.09027322404371585,50,0.5349999999999998
UNSW-NB15,"Fixed Small (buf=20, th=0.5)",fixed,fixed,0.8641230897182659,0.9128666666666667,0.823949246629659,0.908415300546448,0.08517985611510791,0.09158469945355191,20,0.5
UNSW-NB15,"Fixed Medium (buf=50, th=0.5)",fixed,fixed,0.8641230897182659,0.9128666666666667,0.823949246629659,0.908415300546448,0.08517985611510791,0.09158469945355191,50,0.5
UNSW-NB15,"Fixed Large (buf=100, th=0.5)",fixed,fixed,0.8641230897182659,0.9128666666666667,0.823949246629659,0.908415300546448,0.08517985611510791,0.09158469945355191,100,0.5
UNSW-NB15,Fixed buf=50 th=0.3 (sensitive),fixed,fixed,0.8196572672046423,0.8674,0.7003408738766657,0.9879781420765027,0.18551558752997602,0.012021857923497269,50,0.3
UNSW-NB15,Fixed buf=50 th=0.7 (strict),fixed,fixed,0.8759216347166632,0.9214666666666667,0.8452937588940842,0.9088524590163934,0.07299760191846523,0.09114754098360656,50,0.7
UNSW-NB15,Random Forest,static,static,0.8502497408349826,0.8940666666666667,0.7473492379058979,0.9860109289617486,0.14628297362110312,0.013989071038251366,N/A,N/A
UNSW-NB15,XGBoost,static,static,0.8776371308016878,0.9168666666666667,0.7962962962962963,0.9774863387978142,0.10973621103117506,0.022513661202185793,N/A,N/A
UNSW-NB15,LightGBM,static,static,0.879636039956483,0.9188666666666667,0.8032875722543352,0.9720218579234973,0.10446043165467626,0.027978142076502732,N/A,N/A
UNSW-NB15,SVM,static,static,0.8138659978502328,0.8614666666666667,0.6894824707846411,0.9930054644808743,0.1962589928057554,0.006994535519125683,N/A,N/A
UNSW-NB15,KNN,static,static,0.849598607215398,0.8963333333333333,0.761970853573907,0.96,0.13160671462829737,0.04,N/A,N/A
UNSW-NB15,Naive Bayes,static,static,0.687988794210342,0.8218,0.7382264529058116,0.6441530054644808,0.10023980815347722,0.3558469945355191,N/A,N/A
UNSW-NB15,MLP,static,static,0.8482142857142857,0.8934666666666666,0.7500419956324542,0.9759562841530055,0.1427338129496403,0.024043715846994537,N/A,N/A
CIC-IDS2017,ASRRL Dynamic (Buffer+Threshold),dynamic,dynamic,0.945068795294612,0.9651333333333333,0.9096239385361908,0.9833879781420765,0.04287769784172662,0.016612021857923497,70,0.48999999999999977
CIC-IDS2017,Dynamic Buffer Fixed Threshold,dynamic,fixed,0.9439596256965619,0.9644666666666667,0.9094408427876823,0.9812021857923497,0.04287769784172662,0.018797814207650275,45,0.5
CIC-IDS2017,Fixed Buffer Dynamic Threshold,fixed,dynamic,0.944724674232871,0.9649333333333333,0.9097348714835054,0.9825136612021858,0.04278177458033573,0.017486338797814208,50,0.5199999999999998
CIC-IDS2017,"Fixed Small (buf=20, th=0.5)",fixed,fixed,0.9439596256965619,0.9644666666666667,0.9094408427876823,0.9812021857923497,0.04287769784172662,0.018797814207650275,20,0.5
CIC-IDS2017,"Fixed Medium (buf=50, th=0.5)",fixed,fixed,0.9439596256965619,0.9644666666666667,0.9094408427876823,0.9812021857923497,0.04287769784172662,0.018797814207650275,50,0.5
CIC-IDS2017,"Fixed Large (buf=100, th=0.5)",fixed,fixed,0.9439596256965619,0.9644666666666667,0.9094408427876823,0.9812021857923497,0.04287769784172662,0.018797814207650275,100,0.5
CIC-IDS2017,Fixed buf=50 th=0.3 (sensitive),fixed,fixed,0.9351746882407502,0.9580666666666666,0.8847503900156006,0.9916939890710382,0.05669064748201439,0.008306010928961749,50,0.3
CIC-IDS2017,Fixed buf=50 th=0.7 (strict),fixed,fixed,0.9464942709975822,0.9660666666666666,0.911705143782908,0.9840437158469946,0.04182254196642686,0.015956284153005464,50,0.7
CIC-IDS2017,Random Forest,static,static,0.987581052862952,0.9924666666666667,0.9931476569407603,0.9820765027322405,0.002973621103117506,0.017923497267759565,N/A,N/A
CIC-IDS2017,XGBoost,static,static,0.9910067997367844,0.9945333333333334,0.9944970283953335,0.9875409836065574,0.002398081534772182,0.012459016393442624,N/A,N/A
CIC-IDS2017,LightGBM,static,static,0.9904573872984535,0.9942,0.9940554821664465,0.9868852459016394,0.002589928057553957,0.013114754098360656,N/A,N/A
CIC-IDS2017,SVM,static,static,0.8102487931674712,0.8978,0.9340753424657534,0.7154098360655737,0.022158273381294964,0.2845901639344262,N/A,N/A
CIC-IDS2017,KNN,static,static,0.9795918367346939,0.9875333333333334,0.978204010462075,0.980983606557377,0.009592326139088728,0.01901639344262295,N/A,N/A
CIC-IDS2017,Naive Bayes,static,static,0.5961376994122586,0.8076,0.8284714119019837,0.46557377049180326,0.042302158273381296,0.5344262295081967,N/A,N/A
CIC-IDS2017,MLP,static,static,0.9711020766948687,0.9824666666666667,0.9763588157313301,0.9659016393442623,0.01026378896882494,0.03409836065573771,N/A,N/A
MISP Threat Intel,ASRRL Dynamic (Buffer+Threshold),dynamic,dynamic,0.9540391478317292,0.9716666666666667,0.9441352739726028,0.9641530054644809,0.025035971223021584,0.03584699453551913,15,0.5400000000000001
MISP Threat Intel,Dynamic Buffer Fixed Threshold,dynamic,fixed,0.9538228614685844,0.9715333333333334,0.9439212328767124,0.9639344262295082,0.02513189448441247,0.036065573770491806,15,0.5
MISP Threat Intel,Fixed Buffer Dynamic Threshold,fixed,dynamic,0.9542455381287183,0.9718,0.9445396145610279,0.9641530054644809,0.02484412470023981,0.03584699453551913,50,0.4349999999999997
MISP Threat Intel,"Fixed Small (buf=20, th=0.5)",fixed,fixed,0.9538228614685844,0.9715333333333334,0.9439212328767124,0.9639344262295082,0.02513189448441247,0.036065573770491806,20,0.5
MISP Threat Intel,"Fixed Medium (buf=50, th=0.5)",fixed,fixed,0.9538228614685844,0.9715333333333334,0.9439212328767124,0.9639344262295082,0.02513189448441247,0.036065573770491806,50,0.5
MISP Threat Intel,"Fixed Large (buf=100, th=0.5)",fixed,fixed,0.9538228614685844,0.9715333333333334,0.9439212328767124,0.9639344262295082,0.02513189448441247,0.036065573770491806,100,0.5
MISP Threat Intel,Fixed buf=50 th=0.3 (sensitive),fixed,fixed,0.934260429835651,0.9584,0.9017693715680293,0.9691803278688524,0.04633093525179856,0.03081967213114754,50,0.3
MISP Threat Intel,Fixed buf=50 th=0.7 (strict),fixed,fixed,0.954452017743157,0.9719333333333333,0.9449443016281063,0.9641530054644809,0.024652278177458034,0.03584699453551913,50,0.7
MISP Threat Intel,Random Forest,static,static,0.9722252717092985,0.9831333333333333,0.976621085134539,0.9678688524590164,0.010167865707434052,0.032131147540983604,N/A,N/A
MISP Threat Intel,XGBoost,static,static,0.973678438254003,0.984,0.9771076381245872,0.9702732240437159,0.009976019184652279,0.029726775956284153,N/A,N/A
MISP Threat Intel,LightGBM,static,static,0.9728129796097347,0.9834666666666667,0.9758082252034308,0.9698360655737704,0.010551558752997603,0.03016393442622951,N/A,N/A
MISP Threat Intel,SVM,static,static,0.972237462964995,0.9831333333333333,0.9762009695901278,0.9683060109289617,0.010359712230215827,0.03169398907103825,N/A,N/A
MISP Threat Intel,KNN,static,static,0.9669064748201439,0.9800666666666666,0.979372197309417,0.9547540983606557,0.008824940047961631,0.04524590163934426,N/A,N/A
MISP Threat Intel,Naive Bayes,static,static,0.9357053682896379,0.9588,0.8927933293627159,0.9829508196721312,0.051798561151079135,0.017049180327868854,N/A,N/A
MISP Threat Intel,MLP,static,static,0.9595839202513815,0.9751333333333333,0.9514396218306833,0.9678688524590164,0.021678657074340527,0.032131147540983604,N/A,N/A
